Cafés,Arrondissement,Type of coffee,Price
Café le Zimmer,1er,Espresso,2.9
Café Du Pont Neuf,1er,Espresso,2.3
Café Le Corona,1er,Espresso,3.2
Bert's café,1er,Espresso,1.9
Café des Initiés,1er,Espresso,2.6
Café Kitsune Palais Royal,1er,Espresso,2.5
L'ÉTIENNE MARCEL,2e,Espresso,3
MATAMATA COFFEE,2e,Espresso,2.5
Café H,2e,Espresso,2.4
Café Joyeux Opéra,2e,Espresso,2
Le Gramont Paris,2e,Espresso,3
Les cafés San José,2e,Espresso,1.6
Fragments,3e,Espresso,2.5
Oultma,3e,Espresso,2.5
Fringe,3e,Espresso,2.5
Grand Café Tortoni,3e,Espresso,1.5
Café Crème,3e,Espresso,2.4
Strada Café,3e,Espresso,2.4
Le Peloton Café,4e,Espresso,2.5
Café L'Etincelle,4e,Espresso,2.9
Le Carrefour Café,4e,Espresso,1.2
Blancs Manteaux,4e,Café du jour,2.3
2bis café,5e,Espresso,1.5
JOZI CAFE,5e,Espresso,2.5
Strada Café,5e,Espresso,2.4
L'enclos de Ninon,5e,Espresso,2.5
Nuance café,5e,Espresso,2.5
Numéro 220,5e,Espresso,2.2
Cafe Laurent,6e,Espresso,6
Malongo Atelier Barista,6e,Espresso,2.7
Café le Buci,6e,Espresso,2.9
Café de Flore,6e,Espresso,4.9
Le Tournon,6e,Espresso,2.4
Café Montparnasse,6e,Espresso,2.7
Drop Café,7e,Espresso,2.4
Cuppa Cafe,7e,Espresso,2.5
Le Petit Cler,7e,Espresso,2.6
Café la Comtesse,7e,Espresso,3
Café des officiers,7e,Espresso,3.2
Le Tourville,7e,Espresso,3.5
Terres de café,7e,Espresso,2
Café Constant,7e,Espresso,2.5
Paris Europe,8e,Espresso,2
Café Marco Polo,8e,Espresso,3
Café Au Départ Gare St-Lazare,8e,Espresso,2.9
Café Madeleine Paris,8e,Espresso,3.9
Honor,8e,Espresso,3
Café Miromesnil,8e,Espresso,1.5
FIAT Café,8e,Espresso,4
Café Rollin,9e,Espresso,3
KB COFFEE ROASTERS,9e,Espresso double,2.5
Café Marlette,9e,Espresso,2
La Compagnie du Café,9e,Espresso,2.4
Café M,9e,Espresso,2.6
Café de l'Opéra,9e,Espresso,2.5
République of Coffee,10e,Espresso,2.5
Café Petite,10e,Espresso,2.5
Radiodays,10e,Espresso,2.5
La Chambre aux Oiseaux,10e,Espresso,2.2
Café A Bar à Cocktail Brunch Canal St Martin,10e,Espresso,2.7
PEONIES - Café et fleurs,10e,Espresso,2.5
Café Obrkof,11e,Espresso,2.5
Café Foufou,11e,Espresso,2.5
Coffee Spoune,11e,Espresso,2.5
Café FauveParis,11e,Espresso,2.2
Muscovado,11e,Espresso,2.5
Café des Anges,11e,Espresso,1.9
Oh de Lally,11e,Espresso,2.2
Café CC,12e,Espresso,2.5
Columbus Café & Co,12e,Espresso,1.5
Le Bon Sens,12e,Espresso,2.3
Café Pierre,12e,Espresso,2.2
Le Triomphe,12e,Espresso,2.4
Café Marbré,12e,Espresso,2.5
Le Petit Bar,13e,Espresso,2.2
Kaf Conç Tolbiac,13e,Espresso,2
L'Arobase Café,13e,Espresso,1.7
T-Kawa,13e,Espresso,0.8
le coffice,13e,Espresso,2
BOB’S CAFÉ,13e,Espresso,2
Café de la Place,14e,Espresso,2.7
Café Bohème,14e,Espresso,2.4
Café Odessa,14e,Espresso,2.9
Hexagone Café,14e,Espresso,2.5
Green Café,14e,Espresso,2
Le Moulin à café,14e,Espresso,1.5
Café Le Cordon Bleu,15e,Espresso,1.9
O Coffee,15e,Espresso,2.5
Le Primerose,15e,Espresso,2.5
Café Pasteur,15e,Espresso,2.5
Café Arthur et Juliette,15e,Espresso,2.5
Good News Coffee Shop,15e,Espresso,2.5
Café du Trocadéro,16e,Espresso,4.2
Café Kléber,16e,Espresso,3.5
Café Lamartine,16e,Espresso,2.5
LE LONGCHAMP PARIS DAUPHINE,16e,Espresso,2.3
Café Belloy,16e,Espresso,2.6
DS Café Victor Hugo,16e,Espresso,3
Café Contre Allée,16e,Espresso,2.5
DOSE - Dealer de café,17e,Espresso,2
Cafuné,17e,Espresso double,2.5
Terres de Café,17e,Espresso,2
Café Latéral,17e,Espresso,3.1
WINDO Skybar,17e,Espresso,12
La Main Noire,18e,Espresso,2.5
Café Championnet,18e,Espresso,1.5
Mignon café,18e,Espresso,2.5
Le Café Qui Parle,18e,Espresso,2.3
Le vrai Paris,18e,Espresso,2.9
Café Pimpin,18e,Espresso,2.2
Café Francoeur,18e,Espresso,2.2
Lomi,18e,Espresso,2.2
Café Jean,19e,Espresso,2
Café Caché,19e,Espresso,2.3
Le Pavillon des Canaux,19e,Espresso,2
La Vielleuse,20e,Espresso,2.4
Café Capone,20e,Espresso,2.8
